Date,Price
Sep-2009,2.99
Oct-2009,4.01
Nov-2009,3.66
Dec-2009,5.35
Jan-2010,5.83
Feb-2010,5.32
Mar-2010,4.29
Apr-2010,4.03
May-2010,4.14
Jun-2010,4.8
Jul-2010,4.63
Aug-2010,4.32
Sep-2010,3.89
Oct-2010,3.43
Nov-2010,3.71
Dec-2010,4.25
Jan-2011,4.49
Feb-2011,4.09
Mar-2011,3.97
Apr-2011,4.24
May-2011,4.31
Jun-2011,4.54
Jul-2011,4.42
Aug-2011,4.06
Sep-2011,3.9
Oct-2011,3.57
Nov-2011,3.24
Dec-2011,3.17
Jan-2012,2.67
Feb-2012,2.51
Mar-2012,2.17
Apr-2012,1.95
May-2012,2.43
Jun-2012,2.46
Jul-2012,2.95
Aug-2012,2.84
Sep-2012,2.85
Oct-2012,3.32
Nov-2012,3.54
Dec-2012,3.34
Jan-2013,3.33
Feb-2013,3.33
Mar-2013,3.81
Apr-2013,4.17
May-2013,4.04
Jun-2013,3.83
Jul-2013,3.62
Aug-2013,3.43
Sep-2013,3.62
Oct-2013,3.68
Nov-2013,3.64
Dec-2013,4.24
Jan-2014,4.71
Feb-2014,6.0
Mar-2014,4.9
Apr-2014,4.66
May-2014,4.58
Jun-2014,4.59
Jul-2014,4.05
Aug-2014,3.91
Sep-2014,3.92
Oct-2014,3.78
Nov-2014,4.12
Dec-2014,3.48
Jan-2015,2.99
Feb-2015,2.87
Mar-2015,2.83
Apr-2015,2.61
May-2015,2.85
Jun-2015,2.78
Jul-2015,2.84
Aug-2015,2.77
Sep-2015,2.66
Oct-2015,2.34
Nov-2015,2.09
Dec-2015,1.93
Jan-2016,2.28
Feb-2016,1.99
Mar-2016,1.73
Apr-2016,1.92
May-2016,1.92
Jun-2016,2.59
Jul-2016,2.82
Aug-2016,2.82
Sep-2016,2.99
Oct-2016,2.98
Nov-2016,2.55
Dec-2016,3.59
Jan-2017,3.3
Feb-2017,2.85
Mar-2017,2.88
Apr-2017,3.1
May-2017,3.15
Jun-2017,2.98
Jul-2017,2.98
Aug-2017,2.9
Sep-2017,2.98
Oct-2017,2.88
Nov-2017,3.01
Dec-2017,2.82
Jan-2018,3.87
Feb-2018,2.67
Mar-2018,2.69
Apr-2018,2.8
May-2018,2.8
Jun-2018,2.97
Jul-2018,2.83
Aug-2018,2.96
Sep-2018,3.0
Oct-2018,3.28
Nov-2018,4.09
Dec-2018,4.04
Jan-2019,3.11
Feb-2019,2.69
Mar-2019,2.95
Apr-2019,2.65
May-2019,2.64
Jun-2019,2.4
Jul-2019,2.37
Aug-2019,2.22
Sep-2019,2.56
Oct-2019,2.33
Nov-2019,2.65
Dec-2019,2.22
Jan-2020,2.02
Feb-2020,1.91
Mar-2020,1.79
Apr-2020,1.74
May-2020,1.75
Jun-2020,1.63
Jul-2020,
Aug-2020,
Sep-2020,
Oct-2020,
Nov-2020,
Dec-2020,
